1	2 
2	6 
3	3 
4	4 
5	1 
6	1 
7	2 
8	1 
9	1 
10	1 
11	4 
12	2 
13	5 
14	5 
15	4 
16	5 
17	2 
18	4 
19	6 
20	6 
21	3 
22	6 
23	3 
24	2 
25	4 
26	1 
27	1 
28	6 
29	6 
30	4 
31	4 
32	1 
33	5 
34	5 
35	3 
36	4 
37	6 
38	4 
39	3 
40	3 
41	6 
42	4 
43	5 
44	6 
45	4 
46	6 
47	2 
48	2 
49	3 
50	4 
51	3 
52	4 
53	6 
54	1 
55	3 
56	3 
57	6 
58	4 
59	2 
60	4 
61	2 
62	3 
63	3 
64	1 
65	2 
66	4 
67	3 
68	5 
69	1 
70	5 
71	3 
72	6 
73	5 
74	2 
75	1 
76	6 
77	2 
78	3 
79	3 
80	3 
81	3 
82	5 
83	6 
84	2 
85	5 
86	6 
87	6 
88	4 
89	3 
90	1 
91	2 
92	4 
93	2 
94	4 
95	1 
96	1 
97	6 
98	1 
99	6 
100	3 
